Part number	Maximum Rotation Angle 10'000 cycles (deg)	Maximum Torque 10'000 cycles (Nmm)
SPF-0900	354	198
SPF-0901	354	329
SPF-0902	762	198
SPF-0903	762	329
SPF-0904	415	374
SPF-0905	415	562
SPF-0906	862	374
SPF-0907	862	562
SPF-0908	354	506
SPF-0909	354	886
SPF-0910	761	506
SPF-0911	761	886
SPF-0912	456	816
SPF-0913	456	1306
SPF-0914	986	816
SPF-0915	986	1306
SPF-0916	375	1500
SPF-0917	375	2500
SPF-0918	805	1500
SPF-0919	805	2500
SPF-0920	340	2625
SPF-0921	340	4500
SPF-0922	716	2625
SPF-0923	716	4500
SPF-0924	336	5400
SPF-0925	336	8100
SPF-0926	706	5400
SPF-0927	706	8100
SPF-0928	312	11200
SPF-0929	312	18667
SPF-0930	663	11200
SPF-0931	663	18667
SPF-0932	265	21094
SPF-0933	265	35156
SPF-0934	617	21094
SPF-0935	617	35156
SPF-0936	262	36450
SPF-0937	262	60750
SPF-0938	581	36450
SPF-0939	581	60750
